PLAYER,AVGPOINTS,INNINGS, COST, TYPE
AaronFinch,44.2498,8,9,1
AbdeVilliers,44.1333,15,10,1
AbdulSamad,30,11,7.5,1
AbhishekSharma,17,4,8,1
AdamZampa,33.325,6,8.5,3
AjinkyaRahane,36,13,9,1
AlexCarey,11.6,5,8.5,0
AliKhan,15,5,8,3
AmbatiRayudu,23.0555,18,9,1
AmitMishra,27.4,5,8.5,3
AndreRussell,69.1944,15,10.5,2
AndrewTye,12.5,6,8.5,3
AnkitRajpoot,18.75,4,8,3
AnrichNortje,22.596,5,8,3
AnukulRoy,25,1,8,2
ArshdeepSingh,25,3,7.5,3
AveshKhan,0,2,8,3
AxarPatel,30.0203,14,8.5,2
BasilThampi,0,3,8,3
BenStokes,40.4444,9,10,2
BhuvneshwarKumar,18.1905,7,9,3
ChrisGayle,47.6154,13,9.5,1
ChrisGreen,25,6,8,3
ChrisJordan,45,12,8.5,3
ChrisLynn,38.9231,13,9,1
ChrisMorris,42.2778,6,9,2
DaleSteyn,31.5,4,8.5,3
DavidMiller,22.9091,11,8.5,1
DavidWarner,63.8571,14,10.5,1
DeepakChahar,32.5499,20,8.5,3
DeepakHooda,22.6429,7,8,1
DevduttPadikkal,61.5,14,8,1
DhawalKulkarni,15,10,8,3
DineshKarthik,23.8667,15,9,0
DwayneBravo,33.1389,9,9,2
EoinMorgan,36.8,10,9,1
FafduPlessis,48.7999,15,9,1
GlennMaxwell,32.1667,6,9,2
GurkeeratMannSingh,39,3,8,1
HardikPandya,52.4779,17,9.5,2
HardusViljoen,29.1667,6,8,3
HarpreetBrar,24,1,8,3
HarshalPatel,25,2,8,3
ImranTahir,39.1765,17,9.5,3
IshanKishan,19.5,6,8.5,0
IshantSharma,29.3333,3,8.5,3
JagadeeshaSuchith,50,1,8,3
JamesNeesham,23.5,4,8.5,2
JamesPattinson,30.6667,6,8,3
JaspritBumrah,31.0556,18,9,3
JayantYadav,12.5,2,8,3
JaydevUnadkat,20.8334,12,8.5,3
JofraArcher,44.6667,6,9,3
JonnyBairstow,54.25,12,9.5,0
JosButtler,48.625,8,10.5,0
JoshHazlewood,21.5,6,8.5,3
JoshPhillipe,32.4091,22,8,0
KagisoRabada,63.1112,6,9,3
Kamlesh,18.4,10,8,3
KaneWilliamson,20.2222,9,9.5,1
KarnSharma,25,1,8,3
KartikTyagi,30,5,8,3
KarunNair,27.3636,11,8,1
KedarJadhav,18.0667,15,8.5,1
KeemoPaul,31.625,6,8,2
KhaleelAhmed,50.2,10,8,3
KieronPollard,26.0625,16,9,2
KLRahul,59.5625,16,10.5,0
KrishnappaGowtham,13.2571,5,8.5,2
KrunalPandya,31.0148,17,8.5,2
KuldeepYadav,10.7407,6,8.5,3
LockieFerguson,10,5,8.5,3
LungiNgidi,50,8,8.5,3
MananVohra,15,4,8,1
MandeepSingh,15.25,12,8,1
Manimaran,55,6,7.5,3
ManishPandey,40.077,13,9,1
MarcusStoinis,38.6944,12,8.5,2
MayankAgarwal,37.3333,15,8.5,1
MayankMarkande,8.33333,3,8,3
MitchellMarsh,24,5,8.5,2
MitchellMcClenaghan,18.25,4,8.5,3
MitchellSantner,44,2,8.5,2
MoeenAli,44.4667,10,8.5,2
MohammadNabi,42.25,8,9,2
MohammadShami,37.5625,16,8.5,3
MohammedSiraj,19.4444,9,8,3
MohitSharma,24,2,8,3
MSDhoni,40.2667,15,9.5,0
MujeebUrRahman,15,5,9,3
MuraliVijay,23.6,5,8,1
MuruganAshwin,18.5455,11,8,3
Natarajan,22.375,8,8,3
NavdeepSaini,23.0667,15,8.5,3
NicholasPooran,29.5,8,9,0
NikhilNaik,10.75,4,7.5,0
NitishRana,48.5,13,9,2
OshaneThomas,31.25,4,8,3
ParthivPatel,32.0714,14,8.5,0
PatCummins,36.6667,6,9,3
PawanNegi,21.25,4,8,3
PiyushChawla,31.7693,8,8.5,3
PrasidhKrishna,20,18,8,3
PrithviShaw,29.8333,18,8.5,1
PriyamGarg,26.75,12,8,1
QuintondeKock,39.7222,18,9.5,0
RahulChahar,34.1667,6,8,3
RahulTewatia,36.9334,5,8,2
RahulTripathi,23.1429,7,8,1
RashidKhan,31.4666,10,9.5,3
RaviBishnoi,34.5,8,8,3
RavichandranAshwin,38.5306,7,9,3
RavindraJadeja,34.1614,12,8.5,2
Rgaikwad,24.7143,7,8,1
RinkuSingh,14,3,8,1
RishabhPant,39.2222,18,9.5,0
RiyanParag,39.6191,6,8,2
RobinUthappa,28.5833,12,9,1
RohitSharma,35.8824,17,10.5,1
SamCurran,49.6667,11,8.5,2
SandeepLamichhane,33.3333,6,8.5,3
SandeepSharma,26,12,8,3
SandeepWarrier,12,4,8,3
SanjuSamson,42.2308,13,9.5,0
SarfarazKhan,34.4286,7,8,1
SaurabhTiwary,32,7,8,1
